sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
antoinette0,1,,1.,0,"Biblia, Lutheri, ausgefertiget unter direction D. C. M. Pfaffen. Durchgehend mit
      saubern Kupfern. Tübingen. 1730. In SchweinsLedern Band mit Messing Beschlagen","Biblia, Das ist: Die gantze Heilige Schrift Alten und Neuen Testaments : Nach der
      Ubersetzung und mit den Vorreden und Randglossen D. Martin Luthers, Mit Neuen Vorreden,
      Summarien, weitläuffigen Parallelen, Anmerckungen und geistlichen Anwendungen, auch Gebeten
      auf jedes Capitel, Wobey zugleich Nöthige Register und eine Harmonie des Neuen Testaments
      beygefüget sind / Ausgefertiget unter der Aufsicht und Direction Christoph Matthäi Pfaffen,
      Der Heil. Schrifft Doctorn, Professorn, Cantzlern und Probsten zu Tübingen, auch Abbten des
      Closters Lorch",,"Luther, Martin#118575449m",,,,"Klemm, Johann Christian#116222093m","Klemm, Johann Christian#116222093m","Cotta, Johann Georg#100093302m","Cotta, Christian Gottfried#121097021m",Tübingen#getty7004426,,,1730,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Bibel,Druck,ger,GBV,150608519,"Herzog August Bibliothek Wolfenbüttel","Bibel-S. 2° 96",,,http://opac.lbs-braunschweig.gbv.de/DB=2/CMD?ACT=SRCHA&TRM=sgb+{ID},,,,,1,"Außen: aufwendig gemacht mit Hl. Figuren an den Ecken, vorn: Mitte Moses mit der
      Gesetzestafel, Ecken Evangelisten schreibend, hinten: Mitte Christus/ Gottvater mit Weltkugel
      und darauf Kreuz u. Hand mit 3 Fingern zum Segen erhoben, Ecken dito Evangelisten; Schließen
      Leder mit Biischof/Königfiguren; Innen: Frontispiz Pfaff, Prof Uni Tübingen, Stich Johann
      Amman, 1686; viele Stichblätter immer mit drei Stichen, Druck wirkt unbenutzt, hinten
      Evangelienharmonie, Register der Tugenden u. Laster, Register Namen.",,
antoinette1,1,,2.,0,"Idem. mit Kupfern und LandCharten In schwartz Corduan","Biblia, Das ist: Die gantze Heilige Schrift Alten und Neuen Testaments : Nach der
      Ubersetzung und mit den Vorreden und Randglossen D. Martin Luthers, Mit Neuen Vorreden,
      Summarien, weitläuffigen Parallelen, Anmerckungen und geistlichen Anwendungen, auch Gebeten
      auf jedes Capitel, Wobey zugleich Nöthige Register und eine Harmonie des Neuen Testaments
      beygefüget sind / Ausgefertiget unter der Aufsicht und Direction Christoph Matthäi Pfaffen,
      Der Heil. Schrifft Doctorn, Professorn, Cantzlern und Probsten zu Tübingen, auch Abbten des
      Closters Lorch",,"Luther, Martin#118575449m",,,,"Klemm, Johann Christian#116222093m","Klemm, Johann Christian#116222093m","Cotta, Johann Georg#100093302m","Cotta, Christian Gottfried#121097021m",Tübingen#getty7004426,,,1730,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Bibel,Druck,ger,GBV,150608519,,,,,,,,,,1,"Nicht mehr in HAB Bestand, die beiden anderen HAB Exemlare: Bibel-S. 2° 96a und
      Bibel-S. 2° 96 b 1-3 sind nicht in &quot;schwarz Corduan&quot; gebunden. Sgn Bibel-S.
      2° 96 b 1-3 Provenienz Elisabeth Sophie Marie aber andere Ausgabe als id 2 mit wenig Stichen
      und Widmung an Hrz. Eberhard Ludwig ohne FS Pfaff, in rot gefärbtes weiches Leder gebunden:
      Corduan?",,
antoinette2,1,,3.,4V0,"Scheuchzers Physica Sacra. I. II. III. u. IV. Tom. in 4 Bänden: Augspurg ... 1731.
      Corduan","Kupfer-Bibel, In welcher Die Physica Sacra, Oder Geheiligte Natur-Wissenschafft Derer
      In Heil. Schrifft vorkommenden Natürlichen Sachen, Deutlich erklärt und bewährt / Von Joh.
      Jacob Schevchzer, Med. D. Prof. in Lyceo Tigurino, ... Anbey Zur Erläuterung und Zierde des
      Wercks In Künstlichen Kupfer-Tafeln Ausgegeben und verlegt Durch Johann Andreas Pfeffel,
      Kayserlichen Hof-Kupferstecher in Augspurg",,"Scheuchzer, Johann Jacob#118607308m",,,,,,,,Augsburg#getty7004324,,,1731-1735,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Bibel,Druck,ger,GBV,150215339,,,,,,,,,,1,"Bd. 1: Kupfer-Bibel, In welcher ... / Abth. 1 / Von Tab. I - CLXXIV. Samt Vorbericht
      und Verzeichnis der Auctorum, &c.; Bd. 2: Kupfer-Bibel, In welcher ... / Abth. 2 / Von
      Tab. CLXXV ... CCCLXIV; Bd. 3: Kupfer-Bibel, In welcher ... / Abth. 3 / Von Tab. CCCLXV -
      DLXXV.;Bd. 4:Kupfer-Bibel, in welcher ... / Abth. 4 / Von Tab. DLXXVI ... DCLVII.",,"M: Tb 2° 33"
antoinette3,1,,4.,0,"Weigels, Christoph, Biblia Ectypa oder Bildnisse alten und neuen Test: Augspurg ..
      1695. Frantzband","Biblia Ectypa : Bildnußen auß Heiliger Schrifft deß Alt- und Neuen Testaments, in
      welchen Alle Geschichte und Erscheinungen deutlich und schrifftmäßig Zu Gottes Ehre und
      Andächtiger Seelen erbaulicher beschauung vorgestellet werden / Mit Röm. Kayserl. Mayest:
      aller gnädigst-ertheilten Privilegio. neu hervorgebracht von Christoph Weigel, Kupfferstecher
      in Augspurg",,"Weigel, Christoph#118630067m",,,,,,,,Augsburg#getty7004324,,,1695,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Bibel,Druck,ger;lat,VD17,12:654615F,,,,,,,,,,1,,,"M: Tb 2° 30"
antoinette4,1,,5.,4V0,"Reineccii, Christ., Biblia Quadralinguia Hebr. Griech. Latein. und Teutsch. Leipzig.
      .. 1750. I. II. III. u. IV. Tom. in 4 Bänden. Corduan","Biblia sacra quadrilinguia ... / Accurante Christiano Reineccio",,,,,,"Deyling, Salomon#116095628","Deyling, Salomon#116095628","Börner, Christian Friedrich#116224878m",,Leipzig#getty7139158,,,1750,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Bibel,Druck,heb;gre;lat;ger,GBV,150614136,,,,,,,,,,1,"Im VD18 ist eine Gesamt-Ausgabe von 1747 online verfügbar (11415746). Teil 1-2: Biblia
      sacra quadrilinguia ... / Accurante Christiano Reineccio.Veteris Testamenti Hebraici cum
      versionibus e regione positis utpote versione Graeca 70 interpretum ..., item versione Latina
      ..., et Germanica ... expressa. Adjecetis textui Hebraeo notis masorethicis, et Graecae
      versionis lectionibus codicis Vaticani ... subjectis notisque philologicis et exegeticis ...
      ornata. / Salomon Deylingius; Christianus Fridericus Boernerus; Teil 3: Biblia sacra
      quadrilinguia ... / Accurante Christiano Reineccio.Libri apocryphi Veteris Tesstamenti Graeci.
      Secundum editionem Grabianam cum versionibus e regione positis utpote Latina ..., et Germanica
      ... expressa. Adjectis textui Graeco lectionibus codicis Vaticani ... subjectis, notisque
      philologicis et exegeticis ... ornatis.; Teil 4: Biblia sacra quadrilinguia ... / Accurante
      Christiano Reineccio.Novi Testamenti graeci cum versionibus Syriaca, Graeca vulgari, Latina et
      Germanica. ... Adjectis variantibus lectionibus tum Graecis ..., tum Syriacis ..., tum etiam
      Germaninis ... Quibus accedunt loca parallela uberrima ... et annotationes philologicae et
      exegeticae; Leipzig 1750.",,"Bibel-S. 2° 12"
antoinette5,1,,6.,0,"Pritii, Joh. Georg, Summarien oder gründliche Auslegung über die gantze heil. Schrift.
      Leipzig .. 1721. in schwartz Leder","Summarien Oder gründliche Auslegung Uber die gantze Heil. Schrifft Alten und Neuen
      Testaments, Wie auch Uber die so genannten Apocrypha, Samt nützlicher Unterweisung zum
      heilsamen Gebrauch im Glauben, Leben und Leiden, Hiebevor so wol zu öffentlicher
      Kirchen-Andacht, in denen Vesper-Lectionen in dem Hertzogthum Würtemberg und andern
      Evangelischen Ländern, Als auch auf eines ieden Christlichen Haus-Vaters sonderbahre
      Haus-Kirche gestellet: Vormahls von der Theologischen Facultät bey der Universität Tübingen
      mit Fleiß übersehen, wie auch mit nützlichen Anmerckungen ... vermehret, ... Nebst einer neuen
      Vorrede / Von Herrn Io. Georgio Pritio, Der heiligen Schrifft Doctorn und des Ministerii in
      Franckfurth am Mayn Seniorn",,,,,,"Gleditsch, Johann Gottlieb#128713488m","Gleditsch, Johann Gottlieb#128713488m",,,Leipzig#getty7139158,,,1721,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,"Kommentar: theol.",Druck,ger,GBV,356669017,,,,,,,,,,1,"2 Teile: Teil I und Anderer Band.",,"M: Tc 2° 16"
antoinette6,1,,7.,0,"Crocii, Paul, Grosses Martir- Buch und Kirchen-Historie. Bremen .. 1692. In schwartz
      Leder","Das Grosse Martyr-Buch und Kirchen-Historien: Worinnen herrliche und in Gottes Wort
      gegründete Glaubens-Bekäntnissen ... sampt andern denckwürdigen Reden und Thaten vieler
      heiligen Märtyrer beschrieben werden ... ; Welche nach den Zeiten der Aposteln, biß auff das
      Jahr 1572 ... gemartert, ... worden. Anfänglich in Frantzösischer Sprache beschrieben,
      hernacher ... treulich übergesetzet und in Teutsche Spraache gebracht/ Durch Paulum Crocium
      ... Anitzo aber biß auf das 1656ste Jahr continuiret ... Samt zweyen Registern ... Auf
      vielfältiges Begehren und Nachfragen/ aufs neue übersehen und an einigen Orthen
      verbessert",,"Crespin, Jean#119063670m",,,,,,,,Bremen#getty7005286,,,1682,2°,"I. Repositorium. Theologische Bücher. in Folio",Theologie,Kirchengeschichte,Druck,ger,VD17,3:313655H,,,,,,,,,,1,,,"M: Tn 2° 6;M: Lm 4° 41"
antoinette7,2,,8.,0,"Ives Tugendschule der Christen. Prag ... 1715. In Schweins-Leder","Die Tugend-Schule der Christen : Worinnen ein jeder Mensch aufferbaulich unterwiesen
      wird, wie er pflichtmäßig sein Leben anstellen solle / Eröffnet, Durch P. Ives von Paris,
      Capuciner-Ordens Priestern. Nunmehro aber Auß dem Frantzösischen ins Teutsche übersetzet [von
      Franz Anton von Sporck]",,"Yves de Paris#119111918m",,,,,,,,Prag#getty7006464,,,1715,2°,"I. Repositorium. in Folio",Theologie,Erbauungsliteratur,Druck,ger,VD18,90108507,,,,,,,,,,1,"Teile 1-4.",,"M: Lm 4° 41"
antoinette8,2,,9.,2V0,"Das neue Testament auf sauber Pergament geschrieben und mit schön illuminirten
      Gemälden gezieret. Verfertiget in den Jahren 1522-1524. Von Nicolai Glocondon in Nürnberg. In
      II. Tom. und Bänden mit grünen Pluch, stark mit Silber beschlagen und verguldet. Nebst
      Futteralen dazu. A. 4 - A. 5 Extr. Fol","Neues Testament Deutsch (Glockendon-Bibel)",,,,,,,,,,Nürnberg#getty7004334,,,1522-1524,2°,"I. Repositorium. in Folio",Theologie,Handschrift,Handschrift,ger,,,"Herzog August Bibliothek Wolfenbüttel","Cod. Guelf. Extrav. 25.13 und 25.14",,,,,,,,1,"Angefertigt im Auftrag Herzog Johann Friedrich von Sachsen 1522-1524 von Nikolaus
      Glockendon in Nürnberg; 1682 kaufte Ferdinand Albrecht I. (1636-1687) die Hss.; Neues
      Testament in der Übersetzung von Luther vom Jahre 1522 (Septemberbibel, Luthers Übersetzung
      des NT vom Sept. 1521 in elf Wochen auf der Wartburg). Einige Korrekturen von Ferdinand
      Albrecht I. Illuminiert, Randverzierungen mit 4 bzw. 43 ganzseitigen Miniaturen, Innenseite 3
      Bildnisse nach Dürer. Diese Handschrift gelangte also von F. A. I. Büchersammlung in die
      seiner Schwiegertochter AA. Es handelt sich um eine falsche Signatur. Der Titel ist bei W.-D.
      Otte verzeichnet unter 25.13 Extrav und 25.14 Extrav. Vgl. Die neueren Handschriften der
      Gruppe Extravagantes. Teil 1. A Extrav. - 90 Extrav. Beschrieben von Wolf-Dieter Otte.
      Frankfurt a. M. 1986, S. 38-41.",,
antoinette9,2,,10.,0,"Finens Dankpredigt bei der glückl. Geburt eines Erzherzogs und Prinzen von Asturien.
      Michaelstein .. 1731",,,"Finen, Eberhard#12131412Xm",,,,,,,,Michaelstein#getty7130041,,,1731,2°,"I. Repositorium. in Folio",Theologie,Predigt,Druck,ger,,,,,,,,,,,,1,"Nicht ermittelbar, allerdings befindet sich in der UB Augsburg folgender Titel: Die In
      Stamm und Zweigen Grünende Frömmigkeit als dem Allerdurchlauchtigsten ... Herrn Carl dem
      Sechsten ... und der ... Frauen Elisabeth Christinen ... am 18. [13.] Aprill itztlauffenden
      1716. Jahrs ein Gesunder Wolgestallter Ertz-Hertzog und Printz von Asturien ... geschencket
      worden Michaelstein; Struve 1716 (Sgn: 02/XIII.8.2.298angeb.28).
      http://www.nbn-resolving.de/urn:nbn:de:bvb:384-uba002333-5.",,
antoinette10,3,,11.,21V0,"Lutheri, D. M., Sämtliche Schriften. Halle ... 1740. Der I. bis XX. und XXII. Teil in
      21. Bänden: schwarz Corduan","D. Martin Luthers sowol in deutscher als lateinischer Sprache verfertigte und aus der
      letztern in die erstere übersetzte Sämtliche Schriften / Herausgegeben von Johann Georg
      Walch",,"Luther, Martin#118575449m",,,,,,,,Leipzig#getty7139158,,,1740,4°,"I. Repositorium. in Quart",Theologie,"Werkausgabe: theol.",Druck,ger,GBV,151901856,,,,,,,,,,1,"Im Katalog sind die Bände 1-20 und 22 als Besitz der Fürstin nachgewiesen.",,"M: Li 5257"
antoinette11,3,,12.,2V0,"Haus-Postill. ibidem ... 1738. In 2. Bänden. Corduan","D. Martin Luthers Haus-Postill, oder Erklärung der Evangelien auf alle Sonn- Fest- und
      Apostel-Tage ... mit einer Vorrede Von der Christlichen Haus-Kirche und vollständigen
      dreyfachen Registern ans Lichtgestellt worden durch Johann Georg Walch",,"Luther, Martin#118575449m",,,,,,,,Halle#getty1036898,,,1738,4°,"I. Repositorium. in Quart",Theologie,"Kommentar: theol.",Druck,ger,GBV,165472790,,,,,,,,,,1,,,"M: Li 5405"
antoinette12,3,,13.,0,"Vollständige Auslegung der Epistel an die Galater. ibidem ... 1737. Corduan","D. Martin Luthers Vollständige Auslegung der Epistel St. Pauli an die Galater /
      Anjetzo durch genaue Zusammenhaltung mit den erstern Editionen, und Hinzufügung derer bey
      denselben befindlichen Vorreden, nebst einem zweyfachen Register... um vieles verbesserter und
      vermehrter ans Licht gestellet, von Johann Georg Walch, der H. Schrift Doct. und Prof. Publ.
      Ordin. auf der Universität Jena. [Übers.: Justus Menius]",,"Luther, Martin#118575449m",,,,"Menius, Justus#118783297m","Menius, Justus#118783297m","Lucius, Samuel#136062423m","Gebauer, Johann Justinus#116473207m",Halle#getty1036898,,,1737,4°,"I. Repositorium. in Quart",Theologie,"Kommentar: theol.",Druck,ger,VD18,10330798,,,,,,,,,,1,,,"M: Li 5353"
