"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Aix-en-Provence","Aix-en-Provence","Aix-en-Provence","5.448791","43.528695","1701","","",""
"Altdorf","Altdorf","Altdorf","6.018152","47.248778","1693","","",""
"Altenburg","Altenburg","Altenburg","12.45","50.9833","1711","","",""
"Altona","Altona","Altona","9.933333","53.55","1734","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1653","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1666","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1670","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1679","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1683","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1685","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1687","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1688","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1689","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1690","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1691","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1691","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1692","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1693","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1694","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1694","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1696","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1696","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1696","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1696","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1696","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1698","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1699","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1699","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1699","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1699","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1699","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1700","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1700","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1700","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1700","","",""
"Amsterdam","Amsterdam","Amsterdam","4.9167","52.35","1700","","",""
