"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Paris","Paris","Paris (Sterbeort von Petrus Ramus)","+002.348800","+048.853409","1572","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Florenz","Florenz","Florenz (Geburtsort von Francesco Giuntini)","+011.250000","+043.766669","1523","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Florenz","Florenz","Florenz (Geburtsort von Francesco Giuntini)","+011.250000","+043.766669","1523","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Wohlau","Wohlau","Wohlau (Geburtsort von Maria Cunitz)","+016.644290","+051.336559","1607","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Ferrara","Ferrara","Ferrara (Geburtsort von Giovanni Battista Riccioli)","","","","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Landsberg am Lech","Landsberg am Lech","Landsberg am Lech (Geburtsort von Bartholom&auml;us Amantius)","+010.882777","+048.048055","1505","","",""
"Kaysersberg","Kaysersberg","Kaysersberg (Geburtsort von Joseph Lang)","+007.263849","+048.138030","1570","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Bodenwerder","Bodenwerder","Bodenwerder (Geburtsort von Heinrich Julius Behm)","+009.519310","+051.971559","1562","","",""
"Agde","Agde","Agde (Sterbeort von François Derand)","","","","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Melide","Melide","Melide (Geburtsort von Domenico Fontana)","","","1543","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Vicenza","Vicenza","Vicenza (Geburtsort von Vincenzo Scamozzi)","+011.540900","+045.557290","1552","","",""
"Padua","Padua","Padua (Geburtsort von Girolamo Porro)","+011.881809","+045.415190","1520","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Nantes","Nantes","Nantes (Geburtsort von Charles Errard)","-001.553360","+047.217249","1606","","",""
"Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg","Altdorf b. N&uuml;rnberg (Geburtsort von Leonhard Christoph Sturm)","+011.357222","+049.385555","1669","","",""
"Brescello","Brescello","Brescello (Geburtsort von Mario Nizzoli)","+010.512290","+044.896569","1498","","",""
"Augsburg","Augsburg","Augsburg (Geburtsort von Jacob Cellarius)","+010.898333","+048.371388","1542","","",""
"Ciriè","Ciriè","Ciriè (Geburtsort von Celio Secondo Curione)","","","1503","","",""
"Piombino","Piombino","Piombino (Geburtsort von Marcello Squarcialupi)","+010.522119","+042.934820","1538","","",""
