sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
bahnsen0,1,59,1,0,"WEimarische Bibel/ mit Kupffern/ Nürnberg. 1652.","Biblia, Das ist/ Die gantze H. Schrifft, Altes und Newes Testaments Teutsch/ D. Martin Luthers : Auff gnädige Verordnung deß ... Fürsten und Herrn/ Herrn Ernsts/ Hertzogen zu Sachsen/ Jülich/ Cleve und Berg ... Von etlichen reinen Theologen, dem eigentlichen Wortverstand nach/ erkläret/ Wie hievon weiter in der Vorrede gehandelt wird. Darbey auch über die sonst gewönliche/ jetzt aber von newem corrigirte und wol verbesserte Biblische Register unter andern zu finden ein Bericht von Vergleichung der Jüdischen und Biblischen Monden/ Maß/ Gewicht und Müntz/ mit den Unserigen: Sowol auch eine Beschreibung der Stadt Jerusalem/ sambt unterschiedlichen Landtafeln und andern schönen Kupfferfiguren und derselben Beschreibung ... ; Ist auch zu End neben den Christlichen Haubt-Symbolis mit beygedruckt worden ein kurtzer und schöner Bericht von der Augspurgischen Confession/ sambt den Artickeln der Confession selbsten ...","Biblia <dt.>",,,,,"Luther, Martin#118575449",,,,Nürnberg#getty7004334,,"Endter, Wolfgang d.Ä.",1652,2°,"Libri Theologici",Theologie,Bibel,Druck,ger,VD17,547:716901H,,,,,,,,,,1,"WLB (Bibelsammlung) E799",,
bahnsen1,1,59,2,0,"Bible Françoise, à Genève. 1615.","La Bible : rev. par les past. et prof. de Genève : item les Psaumes et Cant., avec les prières ecclesiast","Biblia <franz.>",,,,,,,,,Genf#getty7007279,"La Rochelle#getty7009264","Haultin, Hierosme Erben",1615,2°,"Libri Theologici",Theologie,Bibel,Druck,fre,RERO,R004314598,,,,,,,,,,1,"Verlegt in La Rochelle: Heritiers de Hier. Haultin. Cf. Bibliography of French Bibles, Band 2, Nr. 1088",,
bahnsen2,1,59,3,0,"Hutteri Cubus Alphabeticus. Hamb. 1588. in duplo.","CVBVS || ALPHABETICVS SAN-||CTAE EBRAEAE || LINGVAE || VEL || LEXICI EBRAICI NOVVM COMPENDI-||um tetragōnon in tabulas Alphabeticas ... digestum ... || Ad usum eorum, qui Ebraice discere incipiunt, jampridem || inventus & Germanica lingua editus || AB || ELIA HVTTERO.|| Nunc verô recognitus, & in latinum sermonem con-||versus, studio & opera || DAVIDIS WOLDERI ECCLESI-||ASTAE HAMBVRGENSIS.|| Post praefationem addita est Commonefactio de || CVBICI hujus operis usu.||","Cubus alphabeticus sanctae Ebraeae linguae","Hutter, Elias#121469182",,,,"Wolder, David#128953543",,,,Hamburg#getty7005289,,"Wolff, Jakob von Hamburg",1588,2°,"Libri Theologici",Theologie,Judaicum,Druck,lat,VD16,"H 6427",,,,,,,,,,1,"Berbeitet von David Wolder.",http://nbn-resolving.de/urn:nbn:de:gbv:3:1-473949,
bahnsen3,1,59,4,0,"Psalterium Hebraicum. Hamb. 1636.","[...] Sive Liber Psalmorum : Eleganti, Nova, Utili, Maximeque Necessaria Typorum Forma, Qua Primo Statim intuitu, singularum vocum literae Radicales a Servilibus discernuntur, Editus In Gratiam Ecclesiarum & Scholarum: ut Ebraea Sancta lingua, multo felicius, auxiliante Spiritu Sancto, nunc quam ante, disci & doceri possit / Autore Elia Huttero","[Hebraice ...] sive liber psalmorum eleganti",,,,,"Hutter, Elias#121469182",,,,Hamburg#getty7005289,,"Frobenius, Georg Ludwig",1636,2°,"Libri Theologici",Theologie,Judaicum,Druck,heb,VD17,3:672680M,,,,,,,,,,1,"Bearbeitet von Elias Hutter.",KEYPhttp://www.gbv.de/vd/vd17/3:672680M,
bahnsen4,1,59,5,0,"Idem [Psalterium Hebraicum.] 1586","#=H || SIVE || LIBER || PSALMORVM || ELEGANTI, NOVA,|| VTILI, MAXIMEQVE NECES=||saria typorum forma, qua primo statim intuitu,|| singularum vocum literae Radicales || à Seruilibus discernuntur,|| EDITVS || IN GRATIAM ECCLE=||SIARVM ET SCHOLARVM: VT || EBRAE SANCTA LINGVA, ... || multò felicius nunc quam || antea, disci et doceri poßit:|| AVTORE || ELIA HVTTERO || ... ||","[Hebraice ...] sive liber psalmorum eleganti",,,,,"Hutter, Elias#121469182",,,,Hamburg#getty7005289,,"Sachse, Johann",1586,2°,"Libri Theologici",Theologie,Judaicum,Druck,heb,VD16,"B 3111",,,,,,,,,,1,"Bearbeitet von Elias Hutter.",http://resolver.staatsbibliothek-berlin.de/SBB00012DA800000000,
bahnsen5,1,59,6,0,"Biblia Hebraica. Francof. 1595.","(| |: #=H )[=Frankfurt/Oder: Johann und Friedrich Hartmann 1595][Wittenberg: Zacharias Krafft 1587]","Biblia <hebr.>",,,,,,,,,"Frankfurt an der Oder#getty7005972",Wittenberg#getty7012349,"Hartmann, Johann;Hartmann, Friedrich",1595,2°,"Libri Theologici",Theologie,Bibel,Druck,heb,VD16,"B 2880",,,,,,,,,,1,"Weiterer Drucker/Verleger: Zacharias Krafft.",http://nbn-resolving.de/urn:nbn:de:gbv:3:1-109595,
bahnsen6,1,59,7,0,"Biblia Nederduyts. Delff. 1582.","Biblia: dat is, De gantsche Heylighe Schrift","Biblia <niederländ.>",,,,,,,,,Delft#getty7006804,,"Hendricksz, Aelbrecht",1582,2°,"Libri Theologici",Theologie,Bibel,Druck,dut,STCN,840006861,,,,,,,,,,1,,,
bahnsen7,1,59,8,0,"Agricolae Deutsche Biblische Concordans. 1640.","Concordantiae Bibliorum, Das ist Biblische Concordantz und Verzeichnuß der fürnembsten Wörter : auch aller Namen/ Sprüch unnd Geschicht/ so offt derselben in gantzer Heyliger Göttlicher Schrifft ... gedacht wirdt ; ... dem Alphabeth nach ordentlich zusammen getragen/ und auff D. Martin Luthers/ Anno 1545. am letzten revidirte Bibel gerichtet ... / Gestellt und zusammen getragen durch Conradum Agricolam ...
Jetzo auffs new revidirt/ und mit Zusetzung vieler in erster edition theils außgelassener/ theils im Appendice gesetzter Wörter/ vermehret ...","Concordantiae Bibliorum","Agricola, Conrad#116270381",,,,,,,,"Frankfurt am Main#getty7005293",,"Hoffmann, Wolfgang;Ruland, Johann",1640,2°,"Libri Theologici",Theologie,Konkordanz,Druck,ger,VD17,23:268065T,,,,,,,,,,1,,http://diglib.hab.de/drucke/b-31-2f-helmst/start.htm,
bahnsen8,1,59,9,0,"Lutheri Kerckenpostilla. Witt. 1563","KerckenPostilla || Dat ys/|| Vthlegginge der Euangelien an || den v#[oe]rnemesten Festen der Hilligen/|| vam Aduent beth vp Paschen.|| D.Mart. Luth.||[Hrsg.v.(Stephanus Rodt ... ||)]",Kerckenpostilla,"Luther, Martin#118575449",,,,"Roth, Stephan#119167360",,,,Wittenberg#getty7012349,,"Krafft, Johann d.Ä.",1563,2°,"Libri Theologici",Theologie,Predigtsammlung,Druck,ger,VD16,"L 5655",,,,,,,,,,1,"Bearbeitet/herausgegeben von Stephan Roth.",,
bahnsen9,1,59,10,0,"Idem [Lutheri Kerckenpostilla] Basel. 1528.","Postille op die Epistelen ende Evangelien van allen sondaghen ende sonderlinghen heylichdaghen des geheelen iaers","Postille op die Epistelen ende Evangelien","Luther, Martin#118575449",,,,,,,,Basel#getty7007269,Antwerpen#getty7007856,"Hoochstraten, Johannes",1528,2°,"Libri Theologici",Theologie,Predigtsammlung,Druck,dut,GBV,151851387,,,,,,,,,,1,"Druckort fingiert. Format eigtl. 4°.",,
