"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Stagira","Stagira","Stagira (Geburtsort von Aristoteles)","23.75159","40.53042","-384","","",""
"Paris","Paris","Paris (Geburtsort von Robert Estienne)","+002.348800","+048.853409","1503","","",""
"Rom","Rom","Rom (Sterbeort von Lucius Annaeus Seneca, Philosophus)","+012.483900","+041.894739","65","","",""
"Athen","Athen","Athen (Wirkungsort von Plato)","+023.716219","+037.979449","","","",""
"Athen","Athen","Athen (Geburtsort von Aristophanes)","+023.716219","+037.979449","-445","","",""
"Rethimnon","Rethimnon","Rethimnon (Geburtsort von Markos Musuros)","+024.471389","+035.364719","1470","","",""
"Rotterdam","Rotterdam","Rotterdam (Geburtsort von Desiderius Erasmus)","+004.479169","+051.922499","1469","","",""
"Paris","Paris","Paris (Geburtsort von Henri Estienne)","+002.348800","+048.853409","1531","","",""
"Athen","Athen","Athen (Geburtsort von Aristophanes)","+023.716219","+037.979449","-445","","",""
"Squillace","Squillace","Squillace (Geburtsort von Flavius Magnus Aurelius Cassiodorus)","+016.512200","+038.779479","490","","",""
"L'Aquila","L'Aquila","L'Aquila (Geburtsort von Mariangelo Accursio)","+013.399444","+042.350555","1489","","",""
"Certaldo","Certaldo","Certaldo (Geburtsort von Giovanni Boccaccio)","+011.040219","+043.547040","1313","","",""
"Straßburg","Straßburg","Straßburg (Geburtsort von Jakob Micyllus)","+007.745277","+048.583888","1503","","",""
"Neapel","Neapel","Neapel (Geburtsort von Alexander, ab Alexandro)","+014.250000","+040.833329","1461","","",""
"Paris","Paris","Paris (Wirkungsort von Gérard Morrhy)","+002.348800","+048.853409","","","",""
"N&uuml;rnberg-W&ouml;hrd","N&uuml;rnberg-W&ouml;hrd","N&uuml;rnberg-W&ouml;hrd (Geburtsort von Johann Funck)","11.09594","49.45423","1518","","",""
"Piadena","Piadena","Piadena (Geburtsort von Bartholomaeus Platina)","+010.371010","+045.128590","1421","","",""
