sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
gandersheim0,26,,1,1,"De la vida del picaro Guzmann de Alfarache Tom. III.","La Vida Del Picaro Gvzman De Alfarache: 1",,"Luján de Sayavedra, Mateo#118578243m",,,,"Mateo, Alemán#1090226071m",,,,Brüssel#getty7007868,,"Roger Velpius",1604,8°,"kl. Repertorium neben links neben Schrank 1.",,"Roman;Belletristik;Schelmenroman;pikarischer Roman",book,spa,BVB,BV044436678,"Landesbibliothek Coburg","Beth 5/2",,,,,,,,1,"Es liegen 2 Bände vor. - Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://books.google.de/books?id=zQa3SWf7YkMC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
gandersheim1,26,,1,2,"De la vida del picaro Guzmann de Alfarache Tom. III.","La Vida Del Picaro Gvzman De Alfarache: 2",,"Luján de Sayavedra, Mateo#118578243m",,,,"Mateo, Alemán#1090226071m",,,,Brüssel#getty7007868,,"Roger Velpius",1604,8°,"kl. Repertorium neben links neben Schrank 1.",,"Roman;Belletristik;Schelmenroman;pikarischer Roman",book,spa,BVB,BV044436678,"Landesbibliothek Coburg","Beth 5/2",,,,,,,,1,"Es liegen 2 Bände vor. - Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://books.google.de/books?id=13kPxOKVMyMC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
gandersheim2,26,,2,0,"Oaphorismus de Cornelio Tacito.","Cornelio Tacito Alma ó Aphorismos, dedicatos á Thome Lopes de Ulloa, Caballero del Orden de Avis, Conde de Roede, Baron de Limala, etc.",,"Fuertes y Biota, Antonio de#1122859457m","Gaius Cornelius Tacitus#118620452m",,,,,,,Antwerpen#getty7007856,,"Meurs, Jacob van",1651,8°,"kl. Repertorium neben links neben Schrank 1.",,Sprichwortsammlung;Lyrik;Belletristik,book,spa,BVB,BV044277306,"Landesbibliothek Coburg","A III 11/21",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://data.onb.ac.at/ABO/%2BZ173692903,
gandersheim3,26,,3,0,"Francisco de Ubeda de entretimento de la Picara Justina.","Libro de entretenimiento, de la picara Justina [et]c. Al fin de cada nvmero veras vn discurso, que te muestra como te has de aprouechar desta lectura [et]c....",,"López de Úbeda, Francisco#118882511m",,,,,,,,Brüssel#getty7007868,,"Brunello, Olivero",1608,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV013016363,"Landesbibliothek Coburg","Beth 5/39",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11258737-7,
gandersheim4,26,,4,0,"Historia de la Vida del Buscon llamado don pablos.","Historia De La Vida Del Bvscon, Llamado Don Pablos, Exemplo de Vagamundos, y espejo de Tacaños",,"Quevedo, Francisco de#1119215161m",,,,,,,,Rouen#getty7008929,,"Osmont, Charles",1629,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV010816097,"Landesbibliothek Coburg","Beth 5/37",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://books.google.de/books?id=xGh9Xt2oNr8C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
gandersheim5,26,,5,1,"Novelas exemplares de Miguel de Cervant. Saavedr.","Novelas Exemplares: 1.",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,"Den Haag#getty7006810",,"Néaulme, Jean",1739,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV035050336,"Landesbibliothek Coburg","Beth 5/6(1/2)",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb10607091.html,
gandersheim6,26,,5,2,"Novelas exemplares de Miguel de Cervant. Saavedr.","Novelas Exemplares: 2.",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,"Den Haag#getty7006810",,"Néaulme, Jean",1739,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV035050336,"Landesbibliothek Coburg","Beth 5/6(1/2)",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb10607092.html,
gandersheim7,26,,6,0,"Los Trabaios de Persiles y Sigismunda, p. Miguel de Cervantes.","Los Trabaios De Persiles, Y Sigismvnda",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1618,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV023362126,"Landesbibliothek Coburg","Beth 5/9",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://data.onb.ac.at/ABO/%2BZ197448002,
gandersheim8,26,,7,0,"Tesoro de las dos lenguas, española y francesa","Tesoro De Las Dos Lengvas Española Y Francesa : Avquel Est Continve L'Explication de toutes les deux respectiuement l'vne par l'autre: Diuisé en deux parties",,"Oudin, César#186550960m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1625,4°,"kl. Repertorium neben links neben Schrank 1.",Sprachwissenschaft,Wörterbuch,book,spa,BVB,BV012964088,"Landesbibliothek Coburg","Aleph 17/6",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://babel.hathitrust.org/cgi/pt?id=ucm.5323780561;view=1up;seq=5,
gandersheim9,26,,8,0,"Grammattica Spagnuola ed Italiana da Lor: Franciscini.","Grammatica Spagnuola Ed Italiana, In Qvesta Qvarta Impressione diligentemente corretta ed aumentata (etc.)",,"Franciosini, Lorenzo#175530807m",,,,,,,,Genf#getty7007279,,"Chouet, Léonardo",1687,8°,"kl. Repertorium neben links neben Schrank 1.",Sprachwissenschaft,Grammatik;Schulbuch,book,spa;ita,BVB,BV019425250,"Landesbibliothek Coburg","Cas A 4903",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://data.onb.ac.at/ABO/%2BZ161682104,
gandersheim10,26,,9,1,"El Ingenioso Hidalgo Don Quixote de la Mancha, p Miguel de Cervantes. Tom. II.","Primera Parte Del Ingenioso Hidalgo Don Qvixote De La Mancha / Compvesto Por Miguel de Ceruantes Saauedra. Dirigido Al Dvqve de Bejar, Marquez de Gibraleon, Conde de Benalcaçar, y Bañares, Vizconde de la Puebla de Alcozer, Señor de las villas de Capilla, Curiel, y Burguillos",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1617,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV023373673,,,,,,,,,,1,,http://data.onb.ac.at/ABO/%2BZ171122603,
gandersheim11,26,,9,2,"El Ingenioso Hidalgo Don Quixote de la Mancha, p Miguel de Cervantes. Tom. II.","Segunda Parte del ingenioso cavallero Don Quixote de la Mancha / Por Miguel de Cervantes Saavedra autor de su primera parte.",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1616,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV003985458,"Landesbibliothek Coburg","Beth 5/5",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",,
gandersheim12,26,,10,0,"Los Dichos y hechos del rey Phelippe II.","Los dichos y hechos del rey Phelipe II : llamado con justa razon, el Prudente",,"Porreño, Baltasar#179473395m",,,,,,,,Brüssel#getty7007868,,"Foppens, François (I.)",1666,12°,"kl. Repertorium neben links neben Schrank 1.",Geschichte,Chronik,book,spa,BVB,BV001476115,"Landesbibliothek Coburg","Beth 5/36",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb10456465.html,
gandersheim13,26,,11,0,"Successos y prodigios de Amor por el Licenciado Juan Perez de Montalvan.","Svcessos Y Prodigios De Amor, En Ocho Novelas Exemplares",,"Pérez de Montalvan, Juan#182870782m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1626,12°,"kl. Repertorium neben links neben Schrank 1.",,Novelle;Belletristik,book,spa,BVB,BV044441370,"Landesbibliothek Coburg","Beth 5/33",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://data.onb.ac.at/ABO/%2BZ152487807,
gandersheim14,26,,12,1,"Juan Vicente Peliger estili de escrivir cartas missivas.","Estilo Y Methodo De Escrivir Cartas Missiuas, y responder como couiene a ellas: 1.",,"Peliger, Juan Vicente#100247024m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1608,"kl. 8°","kl. Repertorium neben links neben Schrank 1.",Kulturwissenschaften;Stilistik,Brief,book,spa,BVB,BV011415593,"Landesbibliothek Coburg","Beth 5/34(1/2)",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb11280275.html,
gandersheim15,26,,12,2,"Juan Vicente Peliger estili de escrivir cartas missivas.","Estilo Y Methodo De Escrivir Cartas Missiuas, y responder como couiene a ellas: 2.",,"Peliger, Juan Vicente#100247024m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1608,"kl. 8°","kl. Repertorium neben links neben Schrank 1.",Kulturwissenschaften;Stilistik,Brief,book,spa,BVB,BV011415593,"Landesbibliothek Coburg","Beth 5/34(1/2)",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb11280276.html,
gandersheim16,26,,13,0,"Refranes o Proverbios Espagnoles traduzidos en lengua Francesca.","Refranes O Proverbios Españoles traduzidos en lengua francesa",,"Oudin, César#186550960m",,,,,,,,Brüssel#getty7007868,,"Anthoine, Hubert, Witwe",1634,8°,"kl. Repertorium neben links neben Schrank 1.",Sprichwort,,book,spa,BVB,BV044441657,"Landesbibliothek Coburg","Beth 5/38",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://books.google.de/books?id=Gy9niDzWJI0C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
gandersheim17,26,,14,0,"Historia Tragicomica de don Henrico de Castro.","La Historia tragicómica de don Henrique de Castro",,"Loubayssin de Lamarca, Francisco#113673752m",,,,,,,,Paris#getty7008038,,"Guillemot, Marie",1617,8°,"kl. Repertorium neben links neben Schrank 1.",,Belletristik,book,spa,GVK,150268718,,,,,,,,,,1,"Es handelt sich wahrscheinlich um diese Ausgabe, da nur eine Auflage belegt",http://data.onb.ac.at/ABO/%2BZ202895105,
gandersheim18,26,,15,0,"Examen de Ingenios para las Sciencias, por el Doctor Juan Huarte.","Examen De Ingenios Para Las Sciencias",,"Huarte, Joan de",,,,,,,,Leiden#getty7006809,,"Maire, Johannes",1652,12°,"kl. Repertorium neben links neben Schrank 1.",Pädagogik;Psychologie;Psychophysiologie,,book,spa,BVB,BV001527895,"Landesbibliothek Coburg","Beth 5/31",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb10401186.html,
gandersheim19,26,,16,0,"Il Discreto de Lorenzo Gracian.","El Discreto De Lorenzo Gracian",,"Gracián y Morales, Baltasar#157571114m",,,,,,,,Amsterdam#getty7006952,,"Le Grand, Pierre",1665,8°,"kl. Repertorium neben links neben Schrank 1.",,Belletristik,book,spa,BVB,BV023376334,"Landesbibliothek Coburg","Beth 5/28",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb11091993.html,
gandersheim20,26,,17,0,"Primera parte de la Galatea por Miguel de Cervantes.","Primera Parte De La Galatea; Divida En Seys Libros",,"Cervantes Saavedra, Miguel de#122600770m",,,,,,,,Brüssel#getty7007868,,"Velpius, Hubertus Antonius (I.)",1617,8°,"kl. Repertorium neben links neben Schrank 1.",,Roman;Belletristik,book,spa,BVB,BV044436899,"Landesbibliothek Coburg","Beth 5/8",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",http://data.onb.ac.at/ABO/%2BZ171122603,
gandersheim21,26,,18,0,"Summario de las guerras civiles y causas de la Rebellion de Flandres por Pedro Cornejo.","Svmario De Las Gverras Civiles, y Cavsas De La Rebellion De Flandres",,"Cornejo, Pedro#119645874m",,,,,,,,Lyon#getty7008772,,"Thingi, Philippe",1577,8°,"kl. Repertorium neben links neben Schrank 1.","Geschichte;Geschichtsschreibung;Spanische Niederlande;Aufstand",,book,spa,BVB,BV044438921,"Landesbibliothek Coburg","Beth 5/26",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://articulo.mercadolibre.com.ar/MLA-611714557-sumario-guerras-civiles-y-causas-rebellion-flandres-1577-_JM,
gandersheim22,26,,19,0,"Antonio de Fuertes y Biota Historia de N. Sennora del Pilar de Cara Goza.","Historia de Ntra. Sra. del Pilar de Zaragoza",,"Fuertes y Biota, Antonio de#1122859457m",,,,,,,,Brüssel#getty7007868,,"Scheybels, Guillaume",1654,8°,"kl. Repertorium neben links neben Schrank 1.",Geographie,Reiseführer,book,spa,BVB,BV044438973,"Landesbibliothek Coburg","Beth 5/27",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://books.google.de/books?id=Q-lZAAAAQAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
gandersheim23,26,,20,0,"Idea de un Principe por don Diego de Saaveda Faxardo.","Idea de un principe politico-christiano representada en cien empresas",,"Saavedra Fajardo, Diego de#118604465m",,,,,,,,Amsterdam#getty7006952,,"Schipper, Jan Jacobsz",1659,12°,"kl. Repertorium neben links neben Schrank 1.","Pädagogik;politische Pädagogik",Emblembuch,book,spa,BVB,BV001479461,"Landesbibliothek Coburg","W III 14/11",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10770629_00004.html,
gandersheim24,26,,21,1,"Le Virgile Travestis de Ms. Scarron Tom: II.","Le Virgile Travesty En Vers Burlesques: T. 1",,"Scarron, Paul#118605984m",,,,,,,,Paris#getty7008038,,"[Verlag nicht nachweisbar]",1668,8°,"kl. Repertorium neben links neben Schrank 1.",,Parodie;Belletristik,book,fre,BVB,BV019625367,"Landesbibliothek Coburg","Cas A 5919(4)",,,,,,,,1,,https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10924317_00003.html,
gandersheim25,26,,21,2,"Le Virgile Travestis de Ms. Scarron Tom: II.","Le Virgile Travesty En Vers Burlesques: T. 2",,"Scarron, Paul#118605984m",,,,,,,,Paris#getty7008038,,"[Verlag nicht nachweisbar]",1668,8°,"kl. Repertorium neben links neben Schrank 1.",,Parodie;Belletristik,book,fre,BVB,BV010754825,"Landesbibliothek Coburg","Cas A 5919(4)",,,,,,,,1,"Vermutete Ausgabe. Dem Bestand in der Landesbibliothek Coburg entsprechend verifiziert",https://reader.digitale-sammlungen.de/resolve/display/bsb11258322.html,
