sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
liddel0,,,,0,,"Christophori a Costa aromatum & medicamentorum in Orientali India nascentium liber",,"Acosta, Christóval#100003532",,,,,,,,Antwerpen,,Plantin,1582,,,Pharmazie,,Book,lat,GBV,238679896,"Aberdeen, Sir Duncan Rice Library","pi 613 Ran 1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398040,,,,1,,,
liddel1,,,,1,,"Theodori Adamii I.V.D. Ad doctrinae oratoriae studiosos in Acad. Iulia programma",,"Adami, Theodor#104106379",,,,,,,,Helmstedt,,Lucius,1598,,,Rhetorik,,Book,lat,VD16,"A 206","Aberdeen, Sir Duncan Rice Library","pi 089 u",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},688364,,,,1,,,
liddel2,,,,2,,"De vi rationis dicendi oratio",,"Adami, Theodor#104106379",,,,,,,,Helmstedt,,Lucius,1599,,,Rhetorik,,Book,lat,VD16,"A 209","Aberdeen, Sir Duncan Rice Library","pi 089 u",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},688388,,,,1,,,
liddel3,,,,3,,"Oratio funebris generosissimo et heroica indole perillustri adolescenti Iulio Holsatiae et Schomburgensium dynastae : in Academia Julia V. Eid. Mart. / Publice dicta a Theodoro Adamio: inde perscripta & edita",,"Adami, Theodor#104106379",,,,,,,,Helmstedt,,Lucius,1601,,,Gelegenheitsschrift,,Book,lat,VD17,7:634709D,"Aberdeen, Sir Duncan Rice Library","pi 089 u",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},688318,,,,1,,,
liddel4,,,,4,,"Oratio funebris memoriae et honori meritissimae et illustrissimae heroinae Hedvigis Brandeburgicae, Brunsuigensium & Lunaeburgensium principis, / habita in Acad. Iulia a Theodoro Adamio, ipso die exequiarum, qui erat XIII. Cal. IX br. anno [MD]CII",,"Adami, Theodor#104106379",,,,,,,,Helmstedt,,Lucius,1602,,,Gelegenheitsschrift,,Book,lat,VD17,23:252516R,"Aberdeen, Sir Duncan Rice Library","pi 089 u",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},688341,,,,1,,,
liddel5,,,,0,,"Viro clarissimo & excellentissimo dn. Duncano Liddelio Scoto philosophiae et medicinae doctori & superiorum mathematum professori, gratulantur collegae et familiares",,"Adami, Theodor#104106379",,,,,,,,Helmstedt,,Lucius,1596,,,Gelegenheitsschrift,,Book,lat,VD16,"V 1585","Aberdeen, Sir Duncan Rice Library","pi 61689 Lid t",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398465,,,,1,,,
liddel6,,,,0,,"Aetii contractae ex veteribus medicinae tetra bibli",,"Aetios von Amida#100935516",,,,,,,,Lyon,,Honoratis,1560,,,"Antike Medizin",,Book,lat,GBV,185902642,"Aberdeen, Sir Duncan Rice Library","pi 61081 Aet",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398224,,,,1,,,
liddel7,,,,0,,"Muhamedis Alfragani Arabis chronologica et astronomica elementa, e Palatinae bibliothecae veteribus libris versa, expleta, & scholiis expolita",,"Farġānī, Aḥmad Ibn-Muḥammad al-#100728847",,,,,,,,"Frankfurt am Main",,Wechel,1590,,,Astronomie,,Book,lat,VD16,"A 1203","Aberdeen, Sir Duncan Rice Library","pi 529 Ahm",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},857568,,,,1,,,
liddel8,,,,0,,"Historia plerarunque [sic] partium humani corporis, membratim scripta, et in usum tyronum retractatius edita",,"Alberti, Salomon#100006353",,,,,,,,Wittenberg,,Cratonis,1585,,,Anatomie,,Book,lat,VD16,"A 1305","Aberdeen, Sir Duncan Rice Library","pi 611 Bau c",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398003,,,,1,,,
liddel9,,,,0,,"Alexandri Tralliani libri duodecim",,"Alexander Trallianus#118869477",,,,,,,,Antwerpen,,Harsy,1575,,,"Antike Medizin",,Book,lat,GBV,304944572,"Aberdeen, Sir Duncan Rice Library","pi 6102 Ale 2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398073,,,,1,,,
