"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Antwerpen","Antwerpen","Antwerpen","4.4015","51.2139","","","",""
"Augsburg","Augsburg","Augsburg","10.8833","48.3667","1515","","",""
"Basel","Basel","Basel","7.6","47.55","1532","","",""
"Basel","Basel","Basel","7.6","47.55","1532","","",""
"Basel","Basel","Basel","7.6","47.55","1535","","",""
"Basel","Basel","Basel","7.6","47.55","1546","","",""
"Basel","Basel","Basel","7.6","47.55","1556","","",""
"Basel","Basel","Basel","7.6","47.55","1557","","",""
"Basel","Basel","Basel","7.6","47.55","1557","","",""
"Basel","Basel","Basel","7.6","47.55","1558","","",""
"Basel","Basel","Basel","7.6","47.55","1558","","",""
"Basel","Basel","Basel","7.6","47.55","1559","","",""
"Basel","Basel","Basel","7.6","47.55","1559","","",""
"Basel","Basel","Basel","7.6","47.55","1561","","",""
"Basel","Basel","Basel","7.6","47.55","1561","","",""
"Basel","Basel","Basel","7.6","47.55","1561","","",""
"Basel","Basel","Basel","7.6","47.55","1569","","",""
"Basel","Basel","Basel","7.6","47.55","1571","","",""
"Basel","Basel","Basel","7.6","47.55","1571","","",""
"Basel","Basel","Basel","7.6","47.55","1571","","",""
"Basel","Basel","Basel","7.6","47.55","1574","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Basel","Basel","Basel","7.6","47.55","","","",""
"Frankfurt/M.","Frankfurt/M.","Frankfurt/M.","8.6833","50.1167","1566","","",""
"Ingolstadt","Ingolstadt","Ingolstadt","11.4333","48.7667","1554","","",""
"Köln","Köln","Köln","6.95","50.9333","1569","","",""
"Köln","Köln","Köln","6.95","50.9333","1574","","",""
"Köln","Köln","Köln","6.95","50.9333","1574","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1558","","",""
"Paris","Paris","Paris","2.3333","48.8667","1514","","",""
"Paris","Paris","Paris","2.3333","48.8667","1514","","",""
"Paris","Paris","Paris","2.3333","48.8667","","","",""
"Straßburg","Straßburg","Straßburg","7.75","48.5833","1562","","",""
"Venedig","Venedig","Venedig","12.3267","45.4386","1513","","",""
"Venedig","Venedig","Venedig","12.3267","45.4386","1557","","",""
"Venedig","Venedig","Venedig","12.3267","45.4386","1557","","",""
"Venedig","Venedig","Venedig","12.3267","45.4386","1558","","",""
