"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Bamberg","Bamberg","Bamberg","10.90067","49.89873","1668","","",""
"Ellwangen","Ellwangen","Ellwangen","10.13173","48.96164","1686","","",""
"Frankfurt am Main","Frankfurt am Main","Frankfurt am Main","8.68417","50.11552","1668","","",""
"Frankfurt am Main","Frankfurt am Main","Frankfurt am Main","8.68417","50.11552","1677","","",""
"Frankfurt am Main","Frankfurt am Main","Frankfurt am Main","8.68417","50.11552","1678","","",""
"Leipzig","Leipzig","Leipzig","12.37129","51.33962","1687","","",""
"Neustadt an der Aisch","Neustadt an der Aisch","Neustadt an der Aisch","10.61126","49.57953","1684","","",""
"Neustadt an der Aisch","Neustadt an der Aisch","Neustadt an der Aisch","10.61126","49.57953","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1666","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1669","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1669","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1671","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1671","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1672","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1672","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1672","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1672","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1672","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1673","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1673","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1673","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1673","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1674","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1674","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1674","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1675","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1675","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1675","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1675","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1676","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1676","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1676","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1676","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1676","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1677","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1677","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1677","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1677","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1677","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1678","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1678","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1678","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1679","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1679","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1679","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1680","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1680","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1680","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1680","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1680","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1681","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1681","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1681","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1682","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1682","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1682","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1683","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1683","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1684","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1685","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1686","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1687","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1687","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1687","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1687","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1689","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1689","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1689","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1690","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1690","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1690","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1691","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1691","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1691","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1692","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1692","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1692","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1693","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1693","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1693","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1693","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1694","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1694","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1695","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1695","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1695","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1695","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1696","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1696","","",""
