sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
sulzbach0,,,,0,,"Psalter Des Königlichen Propheten Davids : Samt den Lobgesängen der heiligen Vätter/ und weisen Sprüchen Salomons. Jetzo aufs neue mit kurtzen/ dem Christlichen Leser nutzbarlichen Summarien erkläret/ und in Druck geben",,,,,,"Dietenberger, Johann#118671901",,,,Sulzbach#geoNames2824801,,"Lichtenthaler, Abraham",1700,12°,,,Bibel,,ger,VD17,4620:738657L,,,,,,,,,,1,"Vorlageform des Erscheinungsvermerks: Sultzbach/ Druckts Abraham Lichtenthaler/ 1700.",,
sulzbach1,,,,0,,"Selectae Enucleationes Casuum Iuridico-Practicorum Curiosorum In Iudicio contradictorio, iamiam discussorum & decisorum, ex diversis frequentibusque in foro materiis Iuridicis. Das ist: Rechtliche Erörterungen Zusammengetragener auserlesener, Bey verschiedenen Hohen Tribunalien, pro & contra gestrittner Richterlich-entschiedner, und bey Ober- und Unter-Gerichtern täglich vorfallender Juridischer Casuum",,"Münchmayr, Michael#121053067",,,,,,,,Sulzbach#geoNames2824801,Nürnberg#geoNames2861650,,1700,,,,,,ger;lat,VD17,3:301228C,,,,,,,,,,1,"Vorlageform des Erscheinungsvermerks: Sultzbach, In Verlegung des Auctoris, und zufinden bey Johann Leonhard Buggel, in Nürnberg. Gedruckt bey Abraham Lichtenthaler ...",,
sulzbach2,,,,0,,"Sittliche/ und der Seelen nutzliche Reiß nach Betlehem : Bestehend in unterschiedlichen Predigten/ Allen Irrenden/ Verkehrten und Verführten/ zu sicherer Anleitung",,"Athanasius von Dillingen#100018858",,,,,,,,Sulzbach#geoNames2824801,,"Holst, Johann",1700,4°,,,Ordensliteratur:Kapuziner;Predigtsammlung,,ger,VD17,32:727101X,,,,,,,,,,1,,,
sulzbach3,,,,0,,"Masekhet Megilah 'im perush Rashi we-tosafot u-pesuki tosafot 'im perush Ravenu Asher …",,,,,,"Shelomoh ben Yitshak#118598325","Yaʿakov ben Asher#130891487",,,Sulzbach#geoNames2824801,,"Fränkel, Ahron",1700,2°,,,Bibel,,heb,VD17,29:726251F,,,,,,,"Masseket Megîlla",,,1,"Drucker nicht eindeutig identifizierbar, evtl. Ahron Fränkel?",http://nbn-resolving.de/urn:nbn:de:bvb:29-bv014104807-5,
sulzbach4,,,,0,,"Sēfer ševet Yehûdā",,"Verga, Shelomoh ben Yehudah#11875100X",,,,,,,,Sulzbach#geoNames2824801,,,1700,4°,,,Judaicum,,yid,VD17,12:659868U,,,,,,,,,,1,,,
sulzbach5,,,,0,,"Selectae Enucleationes Casuum Iuridico-Practicorum In Iudicio Contradictorio iamiam discussorum, & ex diversis frequentibusque in foro Materiis Iuridicis decisorum. Das ist: Uber Zwey Hundert rare/ curieuse und auserlesne Casus Iuridici Von Verschiedenen Materien",,"Münchmayr, Michael#121053067",,,,"Christian Ernst Markgraf zu Brandenburg","Georg Friederich Markgraf zu Brandenburg",,,Sulzbach#geoNames2824801,Nürnberg#geoNames2861650,"Münchmayr, Michael;Buggel, Johann Leonhard;Lichtenthaler, Abraham",1700,4°,,,,,ger,VD17,12:634077W,,,,,,,,,,1,,,
sulzbach6,,,,0,,"R.D. Sebastiani Henrici Penzingeri, Consistorialis Passaviensis, decani, & Parochi in Trauttmanstorff ad Kaitan Bonus Ordo Triplicis Formatae Concionis Moralis In Omnia Festa Sanctorum : In Amplissima Diocesi Passaviensi celebria per totum Annum …",,"Penzinger, Sebastian Heinrich#124641075",,,,,,,,Sulzbach#geoNames2824801,,"Buggel, Johann Leonhard",1700,4°,,,Predigtsammlung,,lat,VD17,23:244412L,,,,,,,"Mariale Sive Emcomia B. Mariae V. Id est Discursus XLIV.",,,1,"Vorlageform des Erscheinungsvermerks: Solibaci, Sumptibus Johannis Leonhardi Buggelii. 1698. Erscheinungsjahr auf Zwischent.: 1700",http://www.gbv.de/dms/belser/religion/70015-1.pdf,
sulzbach7,,,,0,,"Selectae Enucleationes Casuum Iuridico-Practicorum Curiosorum In Iudicio Contradictorio iamiam discussorum, & ex diversis frequentibusque in foro Materiis Iuridicis decisorum. Das ist: Uber Zwey Hundert rare/ curieuse und auserlesne Casus Iuridici Von Verschiedenen Materien : Wie solche Bey ein und andern Hohen Gerichten und Dicasterien … vorgekommen/ pro und contra ventilirt/ stattlich ausgeführt/ und endlich rechtlich decidirt und erörtert worden ; Zu … Nachricht nicht allein der Hohen und Niedern Gerichts-Personen … sondern gleichfalls jedermann … zusammen getragen",,,,,,"Münchmayr, Michael#121053067","Georg Friedrich Brandenburg, Markgraf","Christian-Ernst Brandenburg, Markgraf",,Nürnberg#geoNames2861650,Sulzbach#geoNames2824801,"Münchmayr, Michael;Buggel, Johann Leonhard;Lichtenthaler, Abraham",1700,4°,,,,,ger,VD17,1:059679K,,,,,,,,,,1,,,
sulzbach8,,,,0,,"Selectae Enucleationes Casuum Iuridico-Practicorum In Iudicio contradictorio, iamiam discussorum & decisorum, ex diversis frequentibusque in foro materiis Iuridicis. Das ist: Rechtliche Erörterungen Zusammengetragener auserlesener … Iuridischer Casuum",,"Münchmayr, Michael#121053067",,,,"Christian Ernst Markgraf zu Brandenburg","Georg Friederich Markgraf zu Brandenburg",,,Sulzbach#geoNames2824801,Nürnberg#geoNames2861650,"Münchmayr, Michael;Buggel, Johann Leonhard;Lichtenthaler, Abraham",1700,4°,,,,,ger,VD17,3:301228C,,,,,,,,,,1,,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10349201-1,
sulzbach9,,,,0,,"R. D. Sebastiani Henrici Penzingeri, Consistorialis Passaviensis, Decani, & Parochi in Trauttmanstorff ad Laitam Bonus Ordo Triplicis Formatae Concionis Moralis In Omnia Festa Sanctorum In Amplissima Dioecesi Passaviensi celebria per totum Annum : In Exordio Thema assumptum, SS. Patrum nervosis verbis, ac Dictis, ut inconcussis Veritatis columnis fulcitur; In Confirmatione Conceptus elegantissimi adferuntur; Epilogus, aut Sacrae Scripturae, aut alicuius S. Patris sententia concluditur",,"Penzinger, Sebastian Heinrich#124641075",,,,"Aham, Johann Joachim Ignaz, von (ZensorIn)",,,,Sulzbach#geoNames2824801,,"Buggel, Johann Leonhard",1700,4°,,,Predigtsammlung,,lat,VD17,547:673900E,,,,,,,"Festivale; Mariale Sive Encomia B. Mariae V. Id est Discursus XLIV.",,,1,"Vorlageform des Erscheinungsvermerks: Solibaci, Sumptibus Johannis Leonhardi Buggelii. 1698. - Erscheinungsjahr auf Zwischent.: 1700",,
