sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
weltwissen0,,,,3V1,"Annales de la Monarchie francoise depuis Pharamond jusqu‘â la Majorite de Louis XV.","Annales De La Monarchie Françoise, Depuis son Etablissement jusques à présent ...","Annales de la monarchie Françoise, depuis son établissement jusques à présent ... ",,,,,,,,,Amsterdam#getty7006952,,"Chatelain, Zacharias;L'Honoré, François",1724,Folio,,Geschichte;Genealogie,,,fre,GBV,"184416302; 184416329; 184416361",,,,,,,,,,1,"Teil 1-3",,,,,
weltwissen1,,,,1,"Ausführung des Rechts Ihro Königlichen Maj: von Groß-Britannien, als Herzogs von Lauenburg an das Amt Steinhorst, nebst Beyfügung derer von Königlich dänischer Seite bishero in dieser Sache, publicirten Schriften, und deren gründlicher Beantwortung","Ausführung des Rechts Ihro Königl. Majest. von Groß-Britannien als Hertzogs zu Lauenburg, an das Amt Steinhorst, nebst Beyfügung derer, von Königl. Dänischer Seite bißhero in dieser Sache publicirten Schriften, und deren gründlichen Beantwortung","Ausführung des Rechts Ihro Königl. Majest. von Groß-Britannien als Hertzogs zu Lauenburg an das Amt Steinhorst",,,,,,,,,,,,1739,Folio,,Rechtswissenschaft,,,ger,,,HAB,"M: Gm 2° 96","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=149968027,"Altsignatur: VII. 1. 2"
weltwissen2,,,,1,"Dictionnaire Oeconomique","Dictionnaire Oeconomique, Contenant divers Moiens d'Augmenter son bien, et de conserver sa santé, quantité de moyens pour élever, nourrir, querir et faire profiter toutes fortes dʹAnimaux Domestiques, differens Filets pour la Peche de toutes fortes de Poissons et pour la Chasse","Dictionnaire oeconomique",,,,,,,,,Amsterdam#getty7006952,,"Covens, Jan;Mortier, Cornelis",1732,Folio,,Lexikographie;Ökonomie,,,fre,,,HAB,"M: Oe 2° 4","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=147568021,"1-2 in einem Band"
weltwissen3,,,,1,"Supplement au Dictionnaire Oeconomique","Supplement au Dictionnaire Oeconomique, Contenant divers Moiens d'Augmenter son bien, et de conserver sa santé ...","Supplement au dictionnaire oeconomique",,,,,,,,,Amsterdam#getty7006952,,"Covens, Jan;Mortier, Cornelis",1740,Folio,,Lexikographie;Ökonomie,,,fre,,,HAB,"M: Oe 2° 4","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=147568021,"1-2 in einem Band"
weltwissen4,,,,1,"L’Histoire des Provinces-unies des Pais-Bas","L'Histoire des Provinces-Unies Des Païs-Bas, Depuis le parfait Etablissement de cet Etat","L'histoire des Provinces-Unies des Pais-Bas depuis le parfait établissement de cet état",,,,,,,,,"Den Haag#getty7006810",,"Johnson, Thomas",1719,Folio,,Geschichte,,,fre,GBV,135739020,,,,,,,,,,1,,,,,,
weltwissen5,,,,9V1,"Le Grand Dictionnaire Geographique, et Critique","Le Grand Dictionnaire Geographique Et Critique","Le grand dictionnaire geographique et critique",,,,,,,,,"Den Haag#getty7006810",Amsterdam#getty7006952,"Gosse, Pierre;Hondt, Pieter de",1726-1740,Folio,,Geographie;Lexikographie,,,fre,GBV,"0136861199; 0136861202; 0136861210; 0136861229; 0136861237; 0136861245; 0136861253; 0136861261; 013686127X; 0136861288; 0136861296; 013686130X; 0136861318; 0136861326; 0136861334",,,,,,,,,,1,"Teil 1-15",,,,,
weltwissen6,,,,1,"Ern: Salomon Cypriani Hilaria Evangelica oder Theologisch-Historischer Bericht vom andern Evangelischen Jubel-Fest","Ern. Sal. Cypriani Hilaria Evangelica, Oder Theologisch-Historischer Bericht Vom Andern Evangelischen Jubel-Fest ...","Hilaria Evangelica oder theologisch-historischer Bericht vom andern evangelischen Jubel-Fest",,,,,,,,,Gotha#getty7005938,Leipzig#getty7012329,"Weidmann, Moritz Georg;",1719,Folio,,Theologie;Geschichte,,,ger;lat,VD18,90010523,,,,,,,,,,1,"Vermutlich Provenienz ESM: M: Tq 2° 40 (Einband)",,,,,
weltwissen7,,,,1,"Geo: Engelh. Löhneys Aulico-Politica","Avlico Politica. Darin gehandelt wird, 1. Von Erziehung ...","Aulico Politica",,,,,,,,,Remlingen#getty7111296,,"Löhneysen, Georg Engelhard;",1622,Folio,,Pädagogik;Politik,,,ger,VD17,23:270837A,,,,,,,,,,1,"Exemplar M: Hn 2° 3 in Sammelband",,,,,
weltwissen8,,,,1,"Leben der Heiligen ... Sommer Theil","HJe hebt sych an das summerteil der heiligen leben …","Der Heiligen Leben. Summerteil",,,,,,,,,,,,"ca. 1500",Folio,,Theologie;Religionsgeschichte,,,ger,ISTC,ij00167500,,,,,,,,,,1,"Kein Exemplar im Bestand der HAB nachgewiesen",,,,,
weltwissen9,,,,2V1,"Oeuvres de François de la Mothe le Vayer","Œvvres De François De La Mothe Le Vayer",Oeuvres,,,,,,,,,Paris#getty7008038,,"Courbé, Augustin",1662,Folio,,Philosophie;Pädagogik,,,fre,,,HAB,"M: Ac 2° 5","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150247834,"Altsignatur: VII. 1. 3-4 (Bd. 1: VII. 1. 3; Bd. 2: VII. 1. 4)"
