id;pageCat;imageCat;numberCat;"Anzahl der Bände bzw.  ""tomi"" lt. hs. Katalog";"Erschienene Teile insgesamt =  ""comment"" zum Werk";"davon vorhanden = ""comment"" zum Expl. lt. Katalog";titleCat;titleBib;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;contributor5;place1;place2;place3;publisher1;publisher2;publisher3;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
1;1;00007;1;;Teil 1-11;Teil 1 ;Das Christl. Jahr, oder die Episteln und Evangelien, auff alle Sonn= und Fest Täge, sambt derselben auslegung. Prag 1733. I theil;Das Christliche Jahr, Oder Die Episteln und Evangelien, Auf die Sonn- Gemeine- Ferial- und Fest-Täge des gantzen Jahrs: Sambt dererselben Auslegung, In gebundener und ungebundener Rede: Wie auch Einem kurtzen Begriff deß Lebens von denen Heiligen derer Gedächtnus begangen wird. Aus der Frantzösischen in die Teutsche Sprach übersetzt. Und durchgehends mit Kupffern gezieret;Le Tourneux, Nicolas#137309562m;Le Maistre de Sacy, Isaac-Louis#119453142m;;;Wessely, Adalbert Wilhelm#1157915809m [DRUCKER];Sporck, Franz Anton, von#118616382m [HERAUSGEBER];;;;Prag#getty7006464;;;Labaun#1157915795;;;1733;2°;Catalogus I;Theologie;Abhandlung: theol.;Druck;ger;GBV;157174883;;;;;;;;;;;;http://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__65B000505T1215LR6E7-cs;
2;1;00007;2;3;Teil 1-3;Teil 1-3;Daniel Schneiders allgemeines Biblisches Lexicon. Franckfurt am Mayn 1730. Tom. i. ii. iii.;Allgemeines Biblisches Lexicon : Jn welchem nebst denen Namen, das Wesen derer Sachen, das ist, so weit davon in heiliger Schrifft Erwehnung geschiehet, ... Jn Alphabetischer Ordnung ... beschrieben ... und mit schönen hierzu dienlichen Kupffern gezieret ... / Daniel Schneider. Mit einer Vorrede Io. Georgii Pritii, Der heiligen Schrifft Doctoris, und des Ministerii in Franckfurt am Mayn Senioris, Zusammen getragen und ausgefertiget Von Daniel Schneider, Hoch-Gräflich-Erbachischen Kirchen Superintendenten, deßgleichen gemeinschafftlichen Consistoriali und Ober-Pfarrern in Michelstadt ;Schneider, Daniel#121818101m;;;;Pritius, Johann Georg#10434444Xm [VORREDNER];Knoch, Friedrich Daniel#1037536274m [DRUCKER];Waldau, Christian Friedrich, Witwe#103749847Xw [DRUCKER];Waldau, Christian Friedrich#1037583515m [DRUCKER];;Frankfurt#getty7005293;;;;;;1730;2°;Catalogus I;Theologie;Lexikon;Druck;ger;GBV;151008906;;;;;;;;;;;;KEYPhttp://www.gbv.de/vd/vd17/547BA:1000256N;
3;1;00007;3;2;Teil 1-2;Teil 1-2;Histoire de l'Eglise depuis Jesus-Christ jusqu'à present. par Mr. Basnage. à Rotterdam 1699. Tom. i. ii.;"Histoire De L'Eglise Depuis Jesus-Christ jusqu'à present : Divisée en quatre Parties ; La Premiere Continent L'Histoire du Govenement de l'Eglise dans ses Dioceses d'Alexandrie...La Seconde, L'Histoire de ses principaux Dogmes ...La Troisieme Contient Celle de l'adoration du Sacrement...Et lLa Quatrieme, L'Historie des Albigeois...";Basnage de Beauval, Jacques#120538253m;;;;;;;;;Rotterdam#getty7006792;;;Leers, Reinier#119176823m;;;1699;2°;Catalogus I;Theologie;Abhandlung: hist.;Druck;fre;GBV;150653735;;;;;;;;;;;Nicht in angegebenem Format nachweisbar.;http://books.google.ch/books?vid=BCUL1094840134;
4;1;00007;4;6;Teil 1-22; Teil 1-6;D. Martin Luthers deutsche Schrifften und Wercke. Leipzig 1729. Tom: i. ii. iii. iv. v. vi.;Des Theuren Mannes Gottes, D. Martin Luthers Sämtliche Theils von Ihm selbst Deutsch verfertigte, theils aus dessen Lateinischen ins Deutsche übersetzte Schrifften und Wercke: Welche aus allen vorhin Ausgegangenen Sammlungen zusammen getragen,... ;Luther, Martin#118575449m;;;;Börner, Christian Friedrich#116224878m [HERAUSGEBER];;;;;Leipzig#getty7139158;;;Zedler, Johann Heinrich#118636316m ;;;1729;2°;Catalogus I;Theologie;Werkausgabe: theol.;Druck;ger;GBV;151901546;;;;;;;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11205081-6 ;
5;1;00007;5;;;;F. J. Camerarii Wohnungen Gottes im Duncklen Oettingen 1712.;Die Wohnungen Gottes im Dunckeln! Welche bey christlicher Einweihung der von...Herrn Albrecht Ernst...Fürsten in Oettingen...neu-erbauten Capell in dem Thier-Garten...den 3. April 1712...in einer gehaltenen Predigt ...vorgestellt...;Camerarius, Friedrich Heinrich#1055506896m;;;;;;;;;Oettingen#getty7012633;;;Rolk, Stephan#1037522214m;;;1712;2°;Catalogus I;Theologie;Gelegenheitsschrift: Einweihung | Predigt;Druck;ger;GBV;154167878;;;;;;;;;;;;;
6;2;00008;;;;;ohne Einträge;;;;;;;;;;;;;;;;;;2°;;;;;;;;;;;;;;;;;;;;
7;3;00009;6;;;;P. C. Baetlingii Zeit und Ewichkeit, nebst vorrede J. J. Bütemeisteri. Braunschweig 1735.;Petri Conradi Baertlingi Zeit und Ewigkeit, oder die gegenwärtige und zukünftige Welt, in allerhand zufälligen moralischen Andachten...erwogen...Nebst e. Vorr. Joh. Julii Bütemeisteri.;Bärtling, Peter Konrad#129169811m;;;;Bütemeister, Johann Julius#123623618m [VORREDNER];;;;;Braunschweig#getty7004434;;;Weitlein, Johann Philipp Ernst#1037558324m ;;;1735;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;GBV;150652097;;;;;;;;;;;Nicht in angegebenem Format nachweisbar.;;
8;3;00009;7;;;;Compendio delle vite di tutti Santi. p per Lodovico Zacconi. in Venetia 1612.;"Compendio Delle Vite Di Tvtti i Santi : Descritte, non solo dal Vigliega nel lodatissimo suo Flos Sanctorvm; ma anco dal Voragine, Fiamma, Surio, Pietro di Natale, & altri. : Nelquale leggiadramente sotto ordine d'Alfabetto si spiegano La Penitenze, le Mortificationi, i Miracoli, i Progressi, i Martirij, & le Morti di tutti quelli, che nel Martirologio Romano da S. Chiesa giornalmente si sa commemoratione in tutto l'anno, / Raccolto, & composto, per il Reuer. Padre Fra Lodovico Zacconi da Pesaro dell'Ordine Eremti., S. Sant'Agostino. Con tre copiosissime Tauole,... ";Zacconi, Lodovico#10070672Xm;;;;Morosini, Iseppo [ZENSOR];Pasqualigo, Filippo [ZENSOR];Belegno, Giusto Antonio [ZENSOR];Cominus, Bartholomeus [ZENSOR];Breatto, Ioannes Baptista [ZENSOR];Venedig#getty7018159;;;Combi, Sebastiano I.#1037620267m;;;1612;4°;Catalogus I;Theologie;Heiligenvita;Druck;ita;GBV;149991932;;;;;;;;;;;;http://data.onb.ac.at/rep/10716CB8;
9;3;00009;8;;Teil 1-2;Teil 1-2;Christliche Sitten=Lehre oder Kunst, recht und gut zu leben. durch El: Fr: Gr: V: Sp: 1712;Christliche Sitten-Lehre, oder Kunst, recht und gut zu leben;Pictet, Bénédict#128525827m;;;;Sporck, Maria Eleonora Francisca Cajetana Aloysia von#128772964w [ÜBERSETZERIN];Sporck, Franz Anton von#118616382m [HERAUSGEBER];;;;Prag#getty7006464;;;Wickhart, Wolfgang#1089674805m ;;;1712;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;GBV;157176053;;;;;;;;;;;;https://books.google.de/books?id=DEBdAAAAcAAJ&hl=de&pg=PP5#v=onepage&q&f=false;
10;3;00009;9;;;;Biblia d. i. die gantze heil: Schrifft, nebst einer vorrede von Justus Söffingen. Rudolphstadt 1681;Biblia, Das ist/ Die gantze Heilige Schrifft Alten und Neuen Testaments/ Teutsch/ D. Martin Luthers : Mit Summarien/ richtiger Eintheilung der Biblischen Bücher und Capitel/ Nebst einer Vorrede Von Justus Söffingen/ SS. Theol. D. Superint. & Consist. Asses. ;;;;;Luther, Martin#118575449m;Söffing, Justus#121771296m [VORREDNER];Fleischer, Johann Theodor#136284981m [DRUCKER];;;Rudolstadt#getty7012862;;;Fleischer, Christoph#136284620m;;;1681;4°;Catalogus I;Theologie;Bibel;Druck;ger;VD17;23:672661F;;;;;;;;;;;;KEYP: http://www.gbv.de/vd/vd17/23:672661F;
